[2021.11.15 17:48:03.488] channelNo = 2, IsIsolationCheckRunning()
[2021.11.15 18:19:47.083] channelNo = 1, IsIsolationCheckRunning()
[2021.11.15 18:19:47.084]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:19:47.085]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:19:47.085]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.15 18:19:57.847]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:19:57.847]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:20:19.160] InspectionResultViewModel::DoLoaded(), ch = 2, run_id = 20211115181833_2_a5779ea8-a40c-4ff2-8f9c-12ee9da2cdbd
[2021.11.15 18:23:18.146] channelNo = 1, IsIsolationCheckRunning()
[2021.11.15 18:23:18.146]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:23:18.147]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:23:18.147]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.15 18:23:29.175]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:23:29.175]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:24:39.953] InspectionResultViewModel::DoLoaded(), ch = 2, run_id = 20211115182059_2_461683c1-5e6c-4451-9ad5-2bd4c60b212a
[2021.11.15 18:26:53.774] channelNo = 1, IsIsolationCheckRunning()
[2021.11.15 18:26:53.774]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:26:53.775]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:26:53.776]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.15 18:27:04.296]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:27:04.296]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:30:04.231] InspectionResultViewModel::DoLoaded(), ch = 2, run_id = 20211115182516_2_548e5974-9d3a-4fea-b36e-e3602e2e5d6a
[2021.11.15 18:40:12.604] channelNo = 2, IsIsolationCheckRunning()
[2021.11.15 18:40:12.604]  = 2, m_IsIsolationCheckRunning2 = False
[2021.11.15 18:40:12.605]  = 1, SetIsolationCheckRunning()
[2021.11.15 18:40:12.605]  = 1, m_IsIsolationCheckRunning1 = True
[2021.11.15 18:40:23.493]  = 1, SetIsolationCheckRunning()
[2021.11.15 18:40:23.493]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:41:30.773] InspectionResultViewModel::DoLoaded(), ch = 1, run_id = 20211115183824_1_a9a1b6a3-c01f-41e4-8201-6fe8c1dbdb00
[2021.11.15 18:47:53.944] channelNo = 2, IsIsolationCheckRunning()
[2021.11.15 18:47:53.944]  = 2, m_IsIsolationCheckRunning2 = False
[2021.11.15 18:47:53.946]  = 1, SetIsolationCheckRunning()
[2021.11.15 18:47:53.946]  = 1, m_IsIsolationCheckRunning1 = True
[2021.11.15 18:48:04.831]  = 1, SetIsolationCheckRunning()
[2021.11.15 18:48:04.832]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:48:48.713] InspectionResultViewModel::DoLoaded(), ch = 1, run_id = 20211115184551_1_d5a2049e-f5e7-41ef-9b3e-65889ecefd1d
[2021.11.15 18:51:09.614] channelNo = 2, IsIsolationCheckRunning()
[2021.11.15 18:51:09.614]  = 2, m_IsIsolationCheckRunning2 = False
[2021.11.15 18:51:09.615]  = 1, SetIsolationCheckRunning()
[2021.11.15 18:51:09.616]  = 1, m_IsIsolationCheckRunning1 = True
[2021.11.15 18:51:21.301]  = 1, SetIsolationCheckRunning()
[2021.11.15 18:51:21.302]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:55:13.206] channelNo = 2, IsIsolationCheckRunning()
[2021.11.15 18:55:13.207]  = 2, m_IsIsolationCheckRunning2 = False
[2021.11.15 18:55:13.208]  = 1, SetIsolationCheckRunning()
[2021.11.15 18:55:13.208]  = 1, m_IsIsolationCheckRunning1 = True
[2021.11.15 18:55:24.453]  = 1, SetIsolationCheckRunning()
[2021.11.15 18:55:24.457]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:58:59.324] channelNo = 1, IsIsolationCheckRunning()
[2021.11.15 18:58:59.324]  = 1, m_IsIsolationCheckRunning1 = False
[2021.11.15 18:58:59.326]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:58:59.327]  = 2, m_IsIsolationCheckRunning1 = True
[2021.11.15 18:59:09.759]  = 2, SetIsolationCheckRunning()
[2021.11.15 18:59:09.760]  = 2, m_IsIsolationCheckRunning1 = False
[2021.11.15 19:46:08.285] channelNo = 2, IsIsolationCheckRunning()
[2021.11.15 19:46:08.286]  = 2, m_IsIsolationCheckRunning2 = False
[2021.11.15 19:46:08.287]  = 1, SetIsolationCheckRunning()
[2021.11.15 19:46:08.288]  = 1, m_IsIsolationCheckRunning1 = True
[2021.11.15 19:46:32.343]  = 1, SetIsolationCheckRunning()
[2021.11.15 19:46:32.344]  = 1, m_IsIsolationCheckRunning1 = False
